Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA.18.4083.01A.01R.1101.01	0	0.01215793081276	0.25661156135605	0.022360762135535	0.0053339003010218	0	0.068183121252885	0.055902378221207	0	0.11482042956829	0	0.011480664659536	0	0.20519034877804	0.080752150584802	0.10162140006407	0	0.0064253185376358	0.049473137036088	0.0096868966920794	0	0	0	0.4554164219889005	0.8897823083977802
TCGA.18.4086.01A.01R.1101.01	0.022196617705357	0	0.31267666538104	0.034455311337208	0	0.040726399426233	0.064726763518186	0	0	0.074761734638801	0	0	0	0.10429426086315	0.13589894784481	0.092035533097278	0.050166250998758	0	0.049720787163158	0	0	0.018340728026022	0	0.6115507578000264	0.8004340648927379
TCGA.21.1070.01A.01R.0690.01	0	0.058918183573366	0.11782960991751	0.025427391791074	0	0.015878349967207	0.14253606675273	0.035914188694354	0	0.13920086080741	0	0	0	0.1033782152533	0.10672273631097	0.18547027438775	0	0.0090127947807212	0	0.033068035031804	0	0.026643292731807	0	0.43421623165301193	0.8999244689581476
TCGA.21.1071.01A.01R.0690.01	0.0064726568673638	0.0010177833952888	0.19503393651255	0	0.012130649645766	0.0066286632246619	0.071063817111241	0.024081279767373	0	0.052289207676228	0.013069653510871	0	0	0.31141137566653	0.096190411021786	0.11075723452589	0	0.0095413082576032	0.035623630942338	0.012085499059787	0	0.042602892814718	0	0.44619610582609587	0.895474569272934
TCGA.21.1075.01A.01R.0690.01	0	0.2351544741931	0.13728172876406	0.04093889170971	0.021598544647779	0.0055784125069483	0.0010457611125433	0.063528358126135	0.030876175525909	0	0.025686912514587	0	0.018553071726872	0.015956170199029	0.024420227441211	0.18179069190358	0.070003751441418	0.047644253740943	0	0.067095446628478	0	0.012847127817696	0	0.2548687358889166	0.9850286636989328
TCGA.21.1076.01A.02R.0690.01	0	0.01973613498791	0.063203968309696	0	0.028534058662601	0	0.049097475561905	0.030984433855598	0	0.072297674946285	0	0	0	0.46253749471611	0.045715872280214	0.1707372124574	0	0.015240358522266	0.040435295558661	0	0	0.0014800201413538	0	0.6781070577856092	0.7427366789807259
TCGA.21.1077.01A.01R.0690.01	0	0.054963499109464	0.3394070616706	0	0	0.019294665792073	0.027819506853504	0.016716754815791	0	0.045541900972101	0	0	0	0.27705114166978	0.022823945856771	0.1434651353609	0.01013180391488	0.0036781182464376	0	0.032748319940906	0	0.0063581457967912	0	0.5464593531533574	0.8379230649174815
TCGA.21.1078.01A.01R.0690.01	0	0.16459759742527	0.11315982184894	0.11847591269322	0	0.04128483625553	0	0	0.052086782930464	0	0.089581684472258	0	0.025608685521236	0	0.026724180674111	0.16221585894402	0.028335624454905	0.047412656435104	0.13051635834495	0	0	0	0	0.11071310538509731	1.0355945140852216
TCGA.21.1079.01A.01R.0690.01	0	0.0088994090330455	0.15798313253893	0	0.024676813633812	0.068729353090944	0.0036007940144537	0.021207422786587	0	0.044764690646715	0	0.051985712551423	0	0.26269170636183	0.038667161810045	0.18986976243696	0.027658096489569	0.027738310274892	0	0.05817805335289	0	0.0133495809779	0	0.4600512553178168	0.8875036430807642
TCGA.21.1080.01A.01R.0690.01	0	0.11526167350542	0.15292586072673	0.068581634799258	0	0.0012339569296177	0.10917710819861	0.072681722591825	0	0.12539511987421	0	0.013330966382919	0	0.027044019556398	0.057064108766451	0.13102888436133	0.020315876695817	0.045823220289667	0.057100994323838	0	0	0.0030348529979098	0	0.3883901947283675	0.921099744108154
TCGA.21.1081.01A.01R.0690.01	0	0.058403865915524	0.21156069986276	0.045108262640836	0	0.086448490237666	0	0.034039778550987	0.0067181927361528	0	0.060505877714011	0	0.0094840173784556	0.099893952076321	0.018457754416634	0.18657385606413	0	0.025613406062824	0	0.093989859829569	0	0.063201986514134	0	0.46797754807506964	0.8836909064120181
TCGA.21.1082.01A.01R.0690.01	0	0.092541984620424	0.30499982600098	0.0010505714596032	0.012586591089188	0.03306583877412	0.029058263044557	0.054454809541127	0	0.064392878814555	0	0.017269518861882	0	0.1016721193889	0.054814195519896	0.079819898848013	0.0060316168606072	0.068556306459732	0.077557610988662	0	0	0.0021279697277467	0	0.6634834031890579	0.7706469469951802
TCGA.21.1083.01A.01R.0690.01	0	0.10012743093013	0.15921016118951	0.0064723091225395	0.011902148240948	0	0.14109426139453	0.064088242248398	0	0.063025228976135	0.0066180403932482	0.015354711897883	0	0.045285840679049	0.12556111124732	0.16477186350067	0.01962178605028	0.036829868006442	0	0.028744229673565	0	0.011292766449352	0	0.4539747730541659	0.8902795819054378
TCGA.22.0940.01A.01R.0690.01	0.031737119152492	0	0.14964640553436	0	0.024008011159957	0.0006	0.1657825192981	0.087933204636477	0	0.11704051089796	0	0.074025419737036	0	0.014402501457791	0.082306127078417	0.12392898346611	0.054977575081886	0.02155512072997	0.046539809430886	0	0	0.0054955984338254	0	0.5351434451752755	0.8511156530415277
TCGA.22.0944.01A.01R.0690.01	0.018729169997159	0	0.37144608652241	0.034576798227372	0.016320675703529	0	0.0005	0.0255448916444	0.019441629471537	0	0.027874823917685	0	0	0.19601504584466	0.029607504603705	0.095506384546895	0	0.069416970753438	0	0.094999422538259	0	0	0	0.4248202927421133	0.9113228636777668
TCGA.22.1000.01A.01R.0690.01	0	0.054611981982838	0.16323963878846	0	0	0.017173168046072	0.041608522049928	0.031673747390706	0.0026708978330601	0.11417699410169	0	0.0095486818261924	0	0.18292869276891	0.037324221574315	0.17277404580853	0.066214942351621	0.0026125502132545	0.089076640251701	0	0	0.014365275012721	0	0.5501074017134158	0.8447033139865671
TCGA.22.1002.01A.01R.0690.01	0.0080068420130007	0.069946685958762	0.15946154327628	0	0	0.048515332980895	0.021432228949297	0.045283327735233	0	0.12328798553594	0	0.026671127212368	0	0.032309037045597	0.052246953222125	0.19064455161577	0.020876177129898	0.041678792712456	0.067554222010772	0.020496896201035	0	0.071588296400571	0	0.2927007196328825	0.9621543374072447
TCGA.22.1005.01A.01R.0690.01	0	0.068315529683714	0.39674784076725	0.042857804334902	0.0071091186319267	0.020032225288482	0.083379791927039	0.0064994113660824	0	0.084570550871338	0	0.023370745441458	0	0.057488899600797	0.071451412246774	0.04974937581298	0.0081335146354533	0.010101579888805	0.059307734896104	0	0	0.0108844646069	0	0.7572383340901898	0.6876298924134552
TCGA.22.1011.01A.01R.0690.01	0	0.086500505681604	0.42894816952163	0	0.0034409435703642	0.060970355763341	0.054086967204048	0.033837639999896	0	0.057622921875536	0.0011109330574287	0	0	0.055248055311799	0.058491023334437	0.060624386776442	0.0095640887409559	0.010055720831219	0.019144188955378	0.050383516194288	0	0.009970583181631	0	0.7028602766413237	0.72356094028055
TCGA.22.1012.01A.01R.0690.01	0	0.10340161665302	0.085591244125157	0.044468251057548	0	0.056431430719943	0.025711060726251	0.059948526886066	0	0.067574243996567	0.0037178360652614	0	0	0.26129237143279	0.10441473718817	0.085711047873295	0	0.023622335891254	0	0.065528676306917	0	0.01258662107777	0	0.4697454728811618	0.8819354448474639
TCGA.22.1016.01A.01R.0690.01	0	0.025323615183236	0.078655736629222	0	0	0.12859423930117	0.020640500616159	0.036466272422375	0	0.01029687015404	0	0.025742744712951	0.030176763879697	0.16219994680325	0.008328385080561	0.14092903082526	0.015207263003715	0.12324944535897	0.11289187666971	0	0	0.081297309359691	0	0.36037995221201835	0.9330679127369715
TCGA.22.1017.01A.01R.0690.01	0	0.09202796205856	0.15508710404526	0	0	0.06339584287257	0.060587388823974	0.067510410820965	0	0.088613962018802	0	0.04670280072189	0	0.073485690364386	0.037281913375441	0.11385447665139	0.0259543842849	0.03125323327254	0.12769866876402	0	0	0.016546161925297	0	0.3806397404181114	0.9241888337780605
TCGA.22.4591.01A.01R.1199.01	0	0.032322141519809	0.11837236318623	0.048998896875285	0.0061453323670184	0	0.0050817559479523	0.048103174748843	0	0.068125874650089	0	0.078112586395346	0.0051398069233457	0.057444392421193	0.1222554795751	0.25365114250662	0.046823917768987	0.0039251370238413	0.10315931696509	0	0	0.0023386811252484	0	0.3474464067394827	0.9407569554211592
TCGA.22.4594.01A.01R.1199.01	0.013338249977773	0.021532878747955	0.47297297404205	0	0	0.050888416060239	0.045459610566235	0.018042774677924	0	0.086655887613597	0	0	0	0.086763069365943	0.061452205402034	0.066923993077102	0.033380519388858	0.0003	0.02177154641263	0	0	0.02054497447094	0	0.6116747493236758	0.7915637696047155
TCGA.22.4595.01A.01R.1199.01	0	0.095865936601395	0.22114570795108	0	0.023122790194415	0.049060374066659	0.027006324254359	0.030896957012377	0	0.084002893847934	0	0.045696709355309	0	0.078641657717503	0.0758919245894	0.082761132755199	0.040314220559723	0.017229264382675	0.084003278567988	0	0	0.044360828143988	0	0.5882753845485609	0.8227136575895349
TCGA.22.4596.01A.01R.1199.01	0.0066705364586252	0.012701752782114	0.094550196835508	0	0.0074497072166651	0.095758472245056	0.054196044857985	0.040817608309071	0	0.090282092582939	0	0	0	0.10636322869824	0.090632849725504	0.1120999514735	0.11347075598883	0.01364258937962	0.13332136540051	0	0	0.028042848045835	0	0.4580378357095398	0.8920547886277913
TCGA.22.4604.01A.01R.1199.01	0	0.039150205351421	0.14607012453426	0	0.0055474407006497	0.013752337885035	0.042105432975171	0.057275916039832	0	0.094114807592721	0	0.0003	0	0.17377777550362	0.10514252383883	0.14400427291783	0.017853398992724	0	0	0.14330353116707	0	0.017633912682322	0	0.532458370103547	0.848889086307272
TCGA.22.4607.01A.01R.1199.01	0	0	0.24979522628082	0	0	0	0.02460466437468	0.021691188581766	0	0.1017219410054	0	0	0	0.20789670906313	0.048583410911424	0.1375225983044	0.019843617337926	0.038928535485168	0.022785975746865	0.052357679247042	0.014710918167629	0.059557535493756	0	0.5480754640071716	0.8395232988503462
TCGA.33.4532.01A.01R.1199.01	0	0.06715934807448	0.095720044477025	0.01954662604713	0.0074494561372607	0.044786020570867	0.043608694617987	0.073296219322151	0	0.061841294154485	0	0.033410855153047	0	0.15391029674588	0.059022749891821	0.12246867607049	0.045610921971377	0.017797644449098	0.032200146648723	0.093501194908633	0	0.028669810759549	0	0.2106508951692034	0.9974649865302819
TCGA.33.4533.01A.01R.1199.01	0.012367017258282	0.0025499449156257	0.14754242139467	0	0.016946010227981	0.060664028106723	0.042012386332665	0.011494818611444	0	0.092673727031292	0	0	0.024366487217649	0.15915504698817	0.042319521427731	0.044385903217929	0.13926416326406	0.019608342913174	0.14770648283088	0.027383862554911	0	0.009559835706809	0	0.29047036787196195	0.9613103276425196
TCGA.33.4538.01A.01R.1199.01	0	0.08938425279344	0.12909704188473	0	0.050118004496085	0.045517671939886	0.020590871370052	0.05725838989842	0	0.056311125810326	0	0.032917389634837	0.0099535532880143	0.064574013926327	0.11173721420687	0.095587054887723	0.089977146528523	0.0039022147204406	0.10878424752859	0	0	0.034289807085742	0	0.46841717803701083	0.8856972279892633
TCGA.33.4547.01A.01R.1199.01	0	0.022942675716444	0.28230391404692	0.0086010225226248	0.02151279807803	0.054801371771342	0.055641218129183	0.0072927732375245	0	0.023979233346814	0	0	0.0080431913587438	0.10337157180873	0.052469428137549	0.080789410352853	0.063373397914298	0.013013493562148	0.15795889099704	0	0	0.043905609019757	0	0.617873441698942	0.8102554324973725
TCGA.34.2596.01A.01R.0849.01	0.06551435359845	0.085510990024606	0.20651489905408	0	0.032818834566957	0.04255047071394	0.014120993523525	0.077322031777612	0	0.13076872602452	0	0.0033136187098406	0	0.07424737840412	0.08043461083131	0.088817027936591	0.01229159128785	0.01202641796238	0.035131020107883	0.0034909553025334	0	0.035126080173804	0	0.569916459393494	0.8277042862074808
TCGA.34.2600.01A.01R.0849.01	0	0.042631696754564	0.074440045015862	0	0	0.070767193054716	0	0.12420141962849	0	0.083195997770782	0	0.073688420375456	0	0.054490360588503	0.11394652372003	0.090575396340878	0.066628973649659	0.02032511242925	0	0.17648173517118	0	0.0086271255006233	0	0.31056904417749315	0.9615367099881574
TCGA.34.2604.01A.01R.0849.01	0.005286571530872	0	0.049537711495951	0	0	0.044684052910891	0.019276079661644	0.046840313262403	0	0.069099241910067	0	0.02783005355093	0	0.25862248448956	0.042971980694857	0.16125759060925	0	0.14691106575845	0.057988695288304	0.0028003055770356	0	0.066893853259776	0	0.3265753956934157	0.955985789963435
TCGA.34.2605.01A.01R.0849.01	0.017260408329015	0	0.28468814374549	0.0020473573384263	0	0.021558775951223	0.023018535927564	0.053374944091278	0	0.089193404296424	0	0.019982912662354	0	0.22897329300428	0.080835397120543	0.10994027582937	0.0076063723877889	0	0	0.055086361707632	0.0005	0.0059598058867891	0	0.5897646273789483	0.8126906557950839
TCGA.34.2608.01A.02R.0849.01	0	0.050682742121797	0.15475382798955	0	0.00267007530557	0.035297495381599	0.024777154599899	0.015623855920086	0	0.081919283435004	0	0.0060063937503948	0	0.24876492695829	0.10026571886899	0.13020315358804	0.037959472534525	0	0.082989088763708	0	0	0.028086810782546	0	0.5906956687035205	0.817579828093731
TCGA.34.2609.01A.01R.0849.01	0.034813901332795	0.026506195092006	0.11084625575385	0	0.030680519549294	0.062983527717589	0	0.022567898653449	0	0.096731595025983	0	0.037491765820878	0	0.1274978739628	0.087253870013385	0.12986975936927	0.073397289376709	0	0.13120213227942	0	0	0.028157416052569	0	0.4048667408071772	0.9135428671904634
TCGA.37.3783.01A.01R.1199.01	0	0.11098804585635	0.070570677880419	0	0	0	0.086556631472184	0.10553855689648	0	0.1556490481245	0	0.036804627885987	0	0	0.082243758624787	0.092379108795207	0.028888808200003	0.083016427016482	0.0005	0.081584136959386	0.0004	0.064871433989478	0	0.46215881864236086	0.8864264170986222
TCGA.37.3789.01A.01R.1031.01	0	0.0031331736537469	0.020361406136225	0.044666254257571	0	0	0.12565983779711	0.052570927807468	0	0.073158044110332	0.0005	0.01664423048879	0	0.093367898295138	0.13144987645996	0.16024299698138	0.14124568298518	0.046946779932407	0	0.038443713321677	0.0026867496544161	0.048927594746661	0	0.3991846261734764	0.9172278852463326
TCGA.37.3792.01A.01R.1031.01	0	0.010161050894022	0.013961233819716	0	0	0	0.058126124625049	0.018988784911008	0	0.085061416427802	0	0.025675848820133	0	0.30636586168102	0.083618319270986	0.2544831902969	0	0.010372357594248	0	0.071871403442697	0.013494399950125	0.04782000826629	0	0.5894904132186696	0.8081440093090936
