Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
TCGA.18.3419.01A.01R.1031.01	0.007941050545233837	0	0.12962266179885512	0	0	0.00571314289463539	0.05329442780613151	0.019327357315014237	0	0.04074955961110154	0	0.0030876315377403683	0	0.05921135344522206	0.0369323773189862	0.025312621656276818	0.003996617441749999	0.0013363896060453251	0	0.026400306314655016	0	0.02651495561462465	0	0.3732091168097264	0.4394404529062721
TCGA.18.3421.01A.01R.1031.01	0	0	0.007373357340051847	0.04978437530141648	0.0015888857837862216	0	0.026453378352105848	0.015559789285845858	0	0.061540128634550294	0	0.02552723939515991	0	0.03946441192640618	0.07032322944694712	0.047590096831322995	0.004318806873156123	0.0228806354485872	0.02690435399984012	0	0	0.006009719510686366	0	0.47708951537805105	0.40531840812986253
TCGA.18.4083.01A.01R.1101.01	0	0.004357873250521763	0.0919795224825016	0.00801496325770574	0.0019118763876757934	0	0.024439471365398594	0.020037577550478667	0	0.04115608909410774	0	0.004115114897871257	0	0.0735481682757082	0.02894469837169722	0.036425045696278004	0	0.0023030830762597377	0.017733088452950498	0.003472158948392559	0	0	0	0.4554164218649198	0.35843873110754737
TCGA.18.4086.01A.01R.1101.01	0.009041063849572484	0	0.1273585969778031	0.01403424247289364	0	0.016588563877721153	0.0263643262831276	0	0	0.030451741206984337	0	0	0	0.04248084877174723	0.055353983321360475	0.03748765921726638	0.020433578584999276	0	0.02025213211285501	0	0	0.007470494710654928	0	0.6115507612166354	0.4073172313869856
TCGA.21.1070.01A.01R.0690.01	0	0.027934119573053688	0.05586503637551899	0.012055561944337538	0	0.007528197040396304	0.06757878902042272	0.017027532782786722	0	0.0659975127784986	0	0	0	0.04901338261976029	0.050599077520192805	0.08793463411170159	0	0.004273120397462763	0	0.01567812190254041	0	0.012632041493912687	0	0.4342162323813251	0.4741171275605851
TCGA.21.1071.01A.01R.0690.01	0.002624748242521054	0.0004	0.07944851703470684	0	0.004972639911265181	0.002727779577098196	0.028928929759084534	0.009626966794134547	0	0.0213064803102265	0.005307941127754574	0	0	0.12666165328717274	0.03911460828248303	0.04506423216728443	0	0.004061156711700201	0.014501050089770578	0.004920073919645789	0	0.017354968048610038	0	0.446466141717429	0.40706105213066124
TCGA.21.1075.01A.01R.0690.01	0	0.0778221009999069	0.04544691103688202	0.013298850339147163	0.006297957461078925	0.0028729318872869926	0.0004	0.021597115737405487	0.010082430416782407	0	0.008775284068372458	0	0.006157418094938675	0.005249343765997095	0.008080207692892019	0.060183730974364864	0.023418893781496235	0.015796018878981084	0	0.022267746283611993	0	0.004247074342680365	0	0.25480481603132804	0.33194810391911034
TCGA.21.1076.01A.02R.0690.01	0	0.00968901700862245	0.03138365312495688	0	0.014139791461354885	0	0.024429469937298907	0.01540243377551894	0	0.0359712762271528	0	0	0	0.22953214298707797	0.02271440734854723	0.0851332522685443	0	0.007481044436646914	0.02009635896169061	0	0	0.0007	0	0.6780091336567226	0.49667134417218145
TCGA.21.1077.01A.01R.0690.01	0	0.021320318893049868	0.13165586652209738	0	0	0.007484393012137126	0.010791175503097264	0.006484422867588318	0	0.017665685701438054	0	0	0	0.10746803067205303	0.008853397452128537	0.055650070732294284	0.003930125356291294	0.0014267520534075118	0	0.012703060525286145	0	0.002466322624367551	0	0.5464593559622701	0.38789962191523636
TCGA.21.1078.01A.01R.0690.01	0	0.05523143662094975	0.03797127016668133	0.03975511013101677	0	0.013853305530561456	0	0	0.017477944638474855	0	0.030059520322632975	0	0.008593105173312365	0	0.008967427723051827	0.05443223442635549	0.009508143189509039	0.015909511780875338	0.043795331679242835	0	0	0	0	0.11071310563653164	0.33555434138266405
