NAME	Jurkat	IM-9	Raji	THP-1
201909_at	65.61971104	146.2955429	18914.44025	21840.56255
202007_at	13.24680015	1917.710672	1.746332007	5672.394866
202177_at	7.578671591	5.872011163	12.17044473	997.1643282
202178_at	22.15383744	10.22983811	1051.353047	390.281697
202207_at	2588.305456	38.34502664	9.953535978	75.63656756
202242_at	8601.234651	201.1025657	22.98561288	57.82753474
202283_at	374.3548388	11.98214259	83.37556932	4368.08292
202615_at	10850.22465	368.5547178	33.02322647	3453.365017
202620_s_at	34.45543568	1591.219636	15.92307503	364.442002
202718_at	6757.24136	53.81386202	11.42934147	2227.663051
202728_s_at	31.85214097	11.21595077	338.5441747	10.00975338
202746_at	13071.52707	4003.920461	26.89249808	145.1504977
202747_s_at	10780.71253	2568.147334	42.42182704	92.24589152
202888_s_at	11.69686555	8.957494066	16.63156053	2530.24758
202897_at	9.350398929	8.14790194	7.225239905	1252.582758
202917_s_at	58.88680299	55.92164345	11.81181592	5277.666466
202935_s_at	10.32873748	1154.620772	6.825349996	52.45652271
202936_s_at	54.10999164	1257.501434	24.36231197	27.82455415
203132_at	7491.18468	4.774873169	2638.23499	2278.78256
203140_at	129.5701906	33.15329684	7815.420445	284.5600762
203186_s_at	481.9806309	13.80644517	18.39415979	19141.21637
203290_at	17.54105072	174.6622589	11153.07375	15.63631181
203434_s_at	10.17479412	10.98957937	2825.680864	11.70602042
203435_s_at	27.27934902	32.36742417	2326.06594	25.62627846
203440_at	1366.861409	8.847566785	12.41309118	630.9685416
203510_at	8.729990001	25.7523356	690.6506012	12.49901976
203535_at	15.65710245	27.57869875	19.19100617	1673.17459
203548_s_at	5.22497635	60.16337707	15.59568777	1070.818285
203570_at	223.0200209	4.373026735	6.842180972	5.946878913
203641_s_at	23.42763503	71.46396154	1895.411651	39.61822001
203642_s_at	40.96877997	19.16311635	2905.250645	66.42228303
203695_s_at	319.8261075	8979.552761	100.4530329	487.9527514
203716_s_at	8.468839234	485.4265397	6.456795219	11.74830549
203760_s_at	2829.123929	16.68939395	20.30272577	934.75915
203828_s_at	1194.379518	3801.301109	20.21540209	17.73106598
203835_at	12.36530912	6.244856338	296.303134	8.287728401
203865_s_at	1040.606315	10.23265775	8.715971984	11.44208143
203886_s_at	295.401213	14.22857013	8.873805465	9.596462759
203913_s_at	442.8258805	10.05654757	9.306464832	17.32443265
203973_s_at	161.5658132	49.23562987	25.70562868	9525.287766
204039_at	276.9120367	44.19043748	38.82484159	19055.32174
204112_s_at	14.34135116	4.889172456	14.6244506	4843.976329
204201_s_at	51.71630163	2707.317299	39.50004319	128.1002514
204409_s_at	20.62010364	26.87062482	6149.840663	2423.381481
204410_at	9.35666407	13.31108515	1570.889258	664.537226
204445_s_at	34.67928707	11.8668873	1254.732424	122.4902341
204446_s_at	60.20040097	64.34787338	4091.301061	316.9052378
204463_s_at	2.608002291	315.3627905	3.713438105	6.3441324
204466_s_at	168.4656999	3688.624516	16.63300914	146.4230999
204497_at	134.1212832	5.095588446	11.39684932	2832.641858
204517_at	93.77027304	101.3200997	76.4469242	7994.451323
204518_s_at	11.43548226	12.41197166	14.83631979	3080.077542
204548_at	4.978245772	31.54080056	9.445156949	958.9304707
204561_x_at	41.50924753	36.78808629	47.8239478	14578.48359
204562_at	123.0644259	12603.66667	730.8481359	872.5536591
204614_at	17.91103281	1984.257151	10.02792799	9898.76821
204655_at	42.20244167	5801.737113	153.6726549	1238.548038
204661_at	157.3904361	13.40124192	6863.403518	206.389152
204698_at	24.60058219	201.1289724	5369.394812	11.29610788
204749_at	10.15924415	1432.603903	13.66838515	322.3906763
204882_at	30.84456625	7.55987172	1144.58604	267.8607001
204890_s_at	9398.24446	112.432784	491.6294961	69.71813825
204891_s_at	15600.94775	11.62460543	550.0773833	11.24844839
204959_at	49.48225316	367.3916489	105.5844294	8377.684287
204961_s_at	10.32383095	214.1427741	4356.552927	360.8925801
204971_at	50.61538026	43.1606081	76.96587737	12708.88441
205000_at	39.85029701	20.58369096	3727.106291	3278.051201
205124_at	44.57220559	69.56577754	2090.73497	11.61277457
205131_x_at	280.8973441	86.28406654	115.8618577	8945.724236
205280_at	548.3639342	2.702608549	2.089011449	191.3648849
205297_s_at	116.8829262	750.7225145	8231.904738	231.4396959
