"gene","GSM1587845_Normal_tonsil_B_cells_1.CEL.gz","GSM1587846_Normal_tonsil_B_cells_3.CEL.gz","GSM1587847_Normal_tonsil_B_cells_4.CEL.gz","GSM1587848_Normal_tonsil_B_cells_5.CEL.gz","GSM1587849_Normal_tonsil_B_cells_6.CEL.gz","GSM1587850_Normal_tonsil_T_cells_1.CEL.gz","GSM1587851_Normal_tonsil_T_cells_3.CEL.gz","GSM1587852_Normal_tonsil_T_cells_4.CEL.gz","GSM1587853_Normal_tonsil_T_cells_5.CEL.gz","GSM1587854_Normal_tonsil_T_cells_6.CEL.gz"
"ZMAT2",1991.36859557209,1945.29520023553,2058.70948792553,2066.5516773303,2464.82243178743,2477.53020953084,2737.41427014767,3330.53892045664,3310.97802680593,2884.57438255339
"MARVELD2",24.0022400629608,8.67297256888807,33.3466519425857,66.9081570736624,68.4079303002021,111.497448546439,9.57070061114269,27.742586691795,5.73370877718842,4.35163120703374
"IRX2",3.33009926228716,2.6033662120603,3.76185941470845,5.51389149593198,3.53683208725777,10.4135806844489,17.8453753163233,6.24464911549378,2.34734385497956,5.19990205235593
"BTNL9",447.76873304948,295.932206576948,548.574380977253,394.902799362739,791.618304300093,155.855986979955,63.9106882177045,163.516932860544,94.3569868924855,86.2469902492381
"CYBB",2971.43900504975,3810.19687963094,3793.86196767406,2304.6921934273,3371.7525554363,76.1957476594469,83.6305265426895,114.620608364054,83.143046106777,50.3261114182522
"ARSK",174.274651228653,185.473937221353,360.531810375927,323.085024991759,243.896599355231,323.220413643543,408.854319433747,306.620873914243,342.809077710482,409.776396553089
"FAM81B",3.50070933847875,13.8714612430049,14.5051861387559,32.2693436105416,36.9327311042468,5.38508307499169,21.0716967573415,2.55331709356469,2.92475404635419,8.74927046042703
"TTC23L",6.15229981409548,2.07887831806915,8.30878791916573,9.0782122005112,5.15041900973829,4.09992220978845,4.73127079654112,33.1444905943733,8.30878791916573,7.8150686552088
"LOC153684",76.7640176132035,197.507356059472,276.841142341603,251.503632926661,261.665905185758,115.592617134686,177.5200738842,365.053940819563,133.467631488297,380.621938245918
"CYC1",2858.44517886863,2619.9986478096,2749.7138280981,4732.67707207397,3205.66101907169,1872.3882089473,1991.36859557209,2493.1432928985,2861.53634341571,2324.95961508772
"CCDC112",283.670646750045,452.569175154672,276.494460451988,189.004546564229,349.616380579168,95.0919663048563,144.56027247477,69.0351536362209,75.1361058511607,85.3880102350408
"FAM71B",10.5520486373219,5.50430955430649,5.73115605739316,4.1457201342095,14.7477936595365,87.3164594717813,15.8013984944258,8.31144482443955,4.01982629526033,20.9266414017697
"PRELID2",11.6675107194692,34.3839806846317,92.2188996565752,326.078949762573,156.74202825075,20.1927871814593,19.5045989136822,148.355619304284,90.1508012491353,4.05086328059468
"SH3RF2",3.61833530307265,3.88191766266293,7.64322779695725,3.23040189388366,6.71466000919829,37.5834046245893,2.69448970262419,4.0465051576122,5.1432880328658,29.3447390865342
"PLAC8L1",85.2518103569224,96.9634966159162,38.3884093840777,2.9084410161388,41.5085199095711,60.9853831075703,34.9760736057959,4.85411238533691,62.0725922838274,62.3122795254461
"CYLC1",13.795718285483,16.9557863291145,3.61077564300266,16.0814499263406,5.12600505825501,60.0978676529828,4.58094645707644,3.25228500793534,6.38479080365205,52.4102081324205
"RNF145",1803.44256552757,2781.44410006613,2621.71239396931,1988.66209440231,2999.45714194635,3205.66101907169,2848.41818160248,3466.84923053405,3457.27699060654,3336.64200599863
"CYLC2",29.8528764781187,13.3652303505067,25.7871077134532,2.21635660416047,17.8453753163233,43.3851731574242,5.8306621805949,37.7702080187851,3.22033994564315,15.7667947935026
"ZC2HC1B",44.9869599751492,93.023433572802,10.2325986137945,51.9692664328155,92.8340164699289,1.91396583811562,71.9815626218188,5.06774834768636,35.5938755477168,14.9422134949422
"ADRB2",312.222198395073,785.34879911117,634.254359665736,244.583333238228,1363.0106637074,91.1106290579414,175.539606998313,142.22928373821,114.208024452641,235.64607358679
"CYLD",444.078781701253,847.742302499877,486.281935589435,368.82403696735,797.700111106248,2070.3132033648,2609.5484143958,1722.87980654001,1969.57845358369,2258.78130553118
"SNRNP48",367.916102744741,478.328469817646,346.419600413763,394.141710611778,435.169644853707,323.689442499692,353.927813476474,306.185678947924,303.037488541276,407.570370387322
"CNKSR3",8.43837597302651,29.8080341856249,5.99179532338258,40.5427369147951,7.04205377027266,20.7879536726086,68.6634656089105,52.8525100332893,153.210886224338,26.5294163208327
